Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"dev.multistack.app.repository.NoteRepositoryTest.duplicateUserViolatesUniqueConstraint","a second note for the same user violates unique user_id","passed","18ms",,,,,"NoteRepository on real PostgreSQL,slice",,"Persistence","Note repository",
"dev.multistack.app.config.CorsConfigTest.apiCorsChecksOrigin","admits a configured dev server origin and rejects an unknown one","passed","56ms",,,,,"CorsConfig",,"Security","CORS",
"dev.multistack.app.config.CorsConfigTest.apiCorsAllowsSameHostOrigin","admits the deployment host when Origin matches the request Host","passed","2ms",,,,,"CorsConfig",,"Security","CORS",
"dev.multistack.app.config.CorsConfigTest.apiCorsAllowsOriginPatterns","applies the configured origin patterns on /api/**","passed","2ms",,,,,"CorsConfig",,"Security","CORS",
"tests.testinfra.LocalChromePinTest.applyRejectsBlankBrowserVersion","apply refuses to fall back to system Chrome","passed","1ms",,,,,"LocalChromePin",,"Test harness","LocalChromePin",
"tests.testinfra.LocalChromePinTest.applyRejectsForeignMajor","apply rejects a browserVersion from another major","passed","1ms",,,,,"LocalChromePin",,"Test harness","LocalChromePin",
"tests.testinfra.AllureHttpHtmlTest.coloredFtlSurvivesAllureIframeWithoutThemeIslands","coloredFtlSurvivesAllureIframeWithoutThemeIslands()","passed","527ms",,,,,"tests.testinfra.AllureHttpHtmlTest",,,,
"tests.testinfra.LocalChromePinTest.configuredBrowserVersionMatchesPin","configured browserVersion stays on the pinned major","passed","3ms",,,,,"LocalChromePin",,"Test harness","LocalChromePin",
"dev.multistack.app.config.SecurityChainTest.corsPreflightAllowsConfiguredOrigin","CORS preflight for /api/items answers the configured dev origin","passed","13ms",,,,,"Security chain with real JWT filter,slice",,"Security","Security chain",
"dev.multistack.app.config.CorsConfigTest.corsForRequestIgnoresForeignOrigin","corsForRequest does not admit a foreign origin from another host","passed","1ms",,,,,"CorsConfig",,"Security","CORS",
"dev.multistack.app.config.CorsConfigTest.corsForRequestSkipsNonApiPaths","corsForRequest ignores non-API paths and null requests","passed","2ms",,,,,"CorsConfig",,"Security","CORS",
"dev.multistack.app.config.UserSeederTest.createsSeedUserWhenMissing","creates seed user when missing","passed","177ms",,,,,"UserSeeder",,"Authentication","User seeder",
"dev.multistack.app.service.JwtServiceTest.tokenRoundtrip","createToken and extractUsername roundtrip","passed","3ms",,,,,"JwtService",,"Authentication","JWT",
